Pos,Player,Age,Yrs,GS,Summary of Player Stats,Drafted (tm/rnd/yr),TeamCode,OriginalTable
RLB,Arnold Ebiketie,24.0,1,6.0,"6.0 sacks, 0 interceptions, 0 fumbles recovered",,2023_ROSTER.HTM,Table_1
LCB,AJ Terrell,25.0,3,17.0,,,2023_ROSTER.HTM,Table_1
RCB,Jeff Okudah,24.0,3,9.0,,,2023_ROSTER.HTM,Table_1
SS,Jessie Bates III*,26.0,5,17.0,"0.0 sacks, 6 interceptions, 0 fumbles recovered",,2023_ROSTER.HTM,Table_1
FS,Richie Grant,26.0,2,15.0,"3.0 sacks, 1 interception, 0 fumbles recovered",,2023_ROSTER.HTM,Table_1
,Offensive Starters,,,,,,2023_ROSTER.HTM,Table_1
QB,Tua Tagovailoa*,25.0,3.0,17.0,"388 for 560, 4,624 yards, 29 td, 14 int, & 35 rushes for 74 yards and 0 td",,2023_ROSTER.HTM,Table_1
RB,Raheem Mostert*,31.0,8.0,15.0,"209 rushes for 1,012 yards, 18 td, & 25 catches for 175 yards and 3 td",,2023_ROSTER.HTM,Table_1
FB,Alec Ingold*,27.0,4.0,13.0,"2 rushes for yards, 0 td, & 13 catches for 119 yards and 0 td",,2023_ROSTER.HTM,Table_1
WR,Tyreek Hill*+,29.0,7.0,16.0,"119 catches for 1,799 yards, 13 td, & 6 rushes for 15 yards and 0 td",,2023_ROSTER.HTM,Table_1
WR,Jaylen Waddle,25.0,2.0,14.0,"72 catches for 1,014 yards, 4 td, & 3 rushes for 12 yards and 0 td",,2023_ROSTER.HTM,Table_1
TE,Durham Smythe,28.0,5.0,14.0,"35 catches for 366 yards, 0 td",,2023_ROSTER.HTM,Table_1
LT,Terron Armstead*,32.0,10.0,10.0,,,2023_ROSTER.HTM,Table_1
LG,Lester Cotton,27.0,4.0,8.0,,,2023_ROSTER.HTM,Table_1
C,Connor Williams,26.0,5.0,9.0,,,2023_ROSTER.HTM,Table_1
RG,Robert Hunt,27.0,3.0,10.0,,,2023_ROSTER.HTM,Table_1
RT,Austin Jackson,24.0,3.0,16.0,,,2023_ROSTER.HTM,Table_1
,Defensive Starters,,,,,,2023_ROSTER.HTM,Table_1
LDE,Christian Wilkins,28.0,4.0,17.0,"9.0 sacks, 0 interceptions, 2 fumbles recovered",,2023_ROSTER.HTM,Table_1
NT,Raekwon Davis,26.0,3.0,7.0,"0.5 sacks, 0 interceptions, 0 fumbles recovered",,2023_ROSTER.HTM,Table_1
RDE,Zach Sieler,28.0,5.0,17.0,"10.0 sacks, 1 interception, 2 fumbles recovered",,2023_ROSTER.HTM,Table_1
