Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Date,Unnamed: 2_level_0_G#,Unnamed: 3_level_0_Week,Unnamed: 4_level_0_Age,Unnamed: 5_level_0_Tm,Unnamed: 6_level_0_Unnamed: 6_level_1,Unnamed: 7_level_0_Opp,Unnamed: 8_level_0_Result,Unnamed: 9_level_0_GS,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,PlayerCode,OriginalTable,Scoring_TD,Scoring_Pts,Scoring_2PM,Unnamed: 39_level_0_Status,Unnamed: 31_level_0_Status,Unnamed: 37_level_0_Status,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Unnamed: 47_level_0_Status,Unnamed: 34_level_0_Status,Unnamed: 27_level_0_Status,Unnamed: 46_level_0_Status,Unnamed: 40_level_0_Status
4.0,2023-10-01,4.0,4.0,28.248,ARI,@,SFO,L 16-35,*,28,41,68.29,265,2,0,102.2,1,8,6.46,7.44,12,48,4.00,0,1,0,0,1,-2,0,71,100%,0,0%,0,0%,DOBBJO00,Table_1,0,0,,,,,,,,,,,,,,,,
5.0,2023-10-08,5.0,5.0,28.255,ARI,,CIN,L 20-34,*,15,32,46.88,166,2,2,57.6,3,14,5.19,3.63,3,1,0.33,0,1,1,0,0,0,0,57,100%,0,0%,0,0%,DOBBJO00,Table_1,0,0,,,,,,,,,,,,,,,,
6.0,2023-10-15,6.0,6.0,28.262,ARI,@,LAR,L 9-26,*,21,41,51.22,235,0,1,58.5,2,20,5.73,4.63,7,47,6.71,0,1,1,0,0,0,0,76,100%,0,0%,0,0%,DOBBJO00,Table_1,0,0,,,,,,,,,,,,,,,,
7.0,2023-10-22,7.0,7.0,28.269,ARI,@,SEA,L 10-20,*,19,33,57.58,146,0,0,68.5,4,28,4.42,4.42,7,43,6.14,1,1,0,0,2,-3,0,66,100%,0,0%,0,0%,DOBBJO00,Table_1,1,6,,,,,,,,,,,,,,,,
8.0,2023-10-29,8.0,8.0,28.276,ARI,,BAL,L 24-31,*,25,37,67.57,208,2,2,77.3,2,27,5.62,4.27,6,26,4.33,1,1,0,0,0,0,0,77,100%,0,0%,0,0%,DOBBJO00,Table_1,1,8,1,,,,,,,,,,,,,,,
9.0,2023-11-05,9.0,9.0,28.283,MIN,@,ATL,W 31-28,,20,30,66.67,158,2,0,101.8,3,12,5.27,6.60,7,66,9.43,1,3,2,0,1,-3,0,64,85%,0,0%,0,0%,DOBBJO00,Table_1,1,6,,,,,,,,,,,,,,,,
10.0,2023-11-12,10.0,10.0,28.29,MIN,,NOR,W 27-19,*,23,34,67.65,268,1,0,101.1,1,5,7.88,8.47,8,44,5.50,1,0,0,0,0,0,0,73,100%,0,0%,0,0%,DOBBJO00,Table_1,1,6,,,,,,,,,,,,,,,,
11.0,2023-11-19,11.0,11.0,28.297,MIN,@,DEN,L 20-21,*,20,32,62.50,221,1,1,80.3,2,11,6.91,6.13,8,21,2.63,1,3,1,0,2,-1,0,74,100%,0,0%,0,0%,DOBBJO00,Table_1,1,6,,,,,,,,,,,,,,,,
12.0,2023-11-27,12.0,12.0,28.305,MIN,,CHI,L 10-12,*,22,32,68.75,185,1,4,54.3,2,16,5.78,0.78,2,11,5.50,0,0,0,0,0,5,0,55,100%,0,0%,0,0%,DOBBJO00,Table_1,0,0,,,,,,,,,,,,,,,,
13.0,2023-12-10,13.0,14.0,28.318,MIN,@,LVR,W 3-0,*,10,23,43.48,63,0,0,50.8,5,47,2.74,2.74,5,21,4.20,0,0,0,0,0,0,0,53,74%,0,0%,0,0%,DOBBJO00,Table_1,0,0,,,,,,,,,,,,,,,,
14.0,2023-12-16,14.0,15.0,,MIN,@,CIN,L 24-27,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,DOBBJO00,Table_1,Inactive,Inactive,Inactive,,,,,,,,,,,,,,,Inactive
